CTYDIST,ELEMDIST1,DNAME,DADDRESS1,DADDRESS2,DCITY,DZIP,DCOUNTY,DSUPAREA,DPYC,DPYAV,DPYTATL,DPHONE,DFAX,DELEMSN,DELEMST,DELEMSRS,DELEMSNS,DELEMSTS,DMIDSSN,DMIDSST,DMIDSSRS,DMIDSSNS,DMIDSSTS,DJRSN,DJRST,DJRSRS,DJRSNS,DJRSTS,DHIGHSN,DHIGHST,DHIGHSRS,DHIGHSNS,DHIGHSTS,DTOTSCHL,DTOTTECH,DTOTRES,DTOTNRES,DTOTSTU,PRESTITL,PRESLN,PRESFN,PRESMI,SECTITL,SECLN,SECFN,SECMI,SDLNAME,SDFNAME,SDMINIT,SDSALUAT,DIEMAIL,URL,HouseDistricts,SenateDistricts,CongressionalDistricts
048914,,Academie Lafayette ,201 East Armour Boulevard,201 East Armour Boulevard,Kansas City,641111205,Jackson ,B, .,,,8168008771,8168008772,2,70,877,0,877,0,0,0,0,0,0,0,0,0,0,1,33,285,0,285,3,103,1162,0,1162,Ms.,McCarthy,Beth,,Ms.,Markham,Michelle,,Mbengue ,Elimane ,,Mr.,embengue@academielafayette.org,http://www.academielafayette.org,,,
048927,,Academy For Integrated Arts ,7910 Troost,,Kansas City ,641311920,Jackson ,B,,,,8164441720,8164441721,1,22,257,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,257,0,257,Mrs.,Brown ,Lynne ,,Ms.,Brown,Emily,,DeGraff,Tricia,,Dr.,tricia.degraff@afiakc.org,http://www.afiakc.org,,,
001090,,Adair Co. R-I ,600 Rombauer Avenue ,,Novinger ,635592477,Adair ,I,A,"$21,914,335.00",3.8357,6604886411,6604885400,1,15,114,0,114,0,0,0,0,0,0,0,0,0,0,1,18,111,0,111,2,33,225,0,225,Mr.,Smith ,Troy ,,Mrs.,Rodman,Melissa,,Daniels,Robin,M,Mrs.,rdaniels@novinger.k12.mo.us,http://www.novinger.k12.mo.us/,"3  , 4  ",18 ,06
001092,,Adair Co. R-II ,205 W Dewey ,,Brashear ,635332429,Adair ,I,A,"$40,159,554.00",3.9824,6603235272,6603235250,1,17,71,0,71,0,0,0,0,0,0,0,0,0,0,1,15,73,1,74,2,32,144,1,145,Mr.,Reeves,James,,Mr.,Turner,Keith,,Brummit,Joshua,R,Mr.,josh_brummit@adair2.brashear.k12.mo.us,http://brashear.k12.mo.us/,4  ,18 ,06
007123,,Adrian R-III ,601 N Houston ,P.O. Box 98 ,Adrian ,647200098,Bates ,F,A,"$49,294,913.00",4.7350,8162972710,8162972980,1,33,317,0,317,0,0,0,0,0,0,0,0,0,0,1,37,382,0,382,2,70,699,0,699,Mr.,Knuth ,Dave ,,Mrs.,Burris,Michele,,Lile ,Don ,W,Mr.,DON.LILE@ADRIAN.K12.MO.US,http://www.adrian.k12.mo.us,"126, 56 , 57 ",31 ,04
103129,,Advance R-IV ,201 School St. - Gym Entrance ,201 School Street ,Advance ,637300370,Stoddard ,E,A,"$36,690,904.00",3.6276,5737223581,5737229886,2,26,263,0,263,0,0,0,0,0,0,0,0,0,0,1,20,183,0,183,3,46,446,0,446,Mr.,Schrader ,Ryan ,,Mr.,Below ,Jim ,,Garner ,Shannon ,D,Mr.,sgarner@advancehornets.org,http://www.advancehornets.org,,"25 , 27 ",08
096098,,Affton 101 ,8701 Mackenzie Road ,,St. Louis ,631233436,St. Louis ,A,A,"$506,399,020.00",5.1103,3146388770,3146312548,2,114,1174,0,1174,1,51,587,0,587,0,0,0,0,0,1,74,746,0,746,4,239,2507,0,2507,Mrs.,Burford,Michelle,,Mrs.,Smith,Claire,,Bracht,Nathan,T,Dr.,tbracht@afftonschools.net,http://afftonschools.net,"91 , 92 , 93 , 94 ","1  , 4  ","01, 02"
038046,,Albany R-III ,101 W Jefferson St. ,101 W Jefferson ,Albany ,644021237,Gentry ,H,A,"$42,272,094.00",4.4893,6607263911,6607265841,1,23,237,0,237,1,18,93,0,93,0,0,0,0,0,1,22,128,0,128,3,63,458,0,458,Mrs.,Worrell,Jamie,,Ms.,Ruckman ,Susan ,M,Freeman,Dustin,,Mr.,dfreeman@albany.k12.mo.us,http://www.albany.k12.mo.us,2  ,12 ,06
048909,,Allen Village ,706 W 42nd St. ,,Kansas City ,641113120,Jackson ,B, .,,,8169310177,8165614640,3,32,205,0,205,1,15,131,0,131,0,0,0,0,0,1,18,164,0,164,5,65,500,0,500,Mr.,Shelby ,Alan ,,Mr.,Griffin ,Ronald ,,Washington ,Phyllis ,,Ms.,willharris@allenvillageschool.com,http://www.allenvillageschool.com,,,
079078,Y,Altenburg 48 ,8432 Main St. ,P.O. Box 127 ,Altenburg ,637320127,Perry ,E,A,"$21,029,789.00",3.4933,5738245857,5738245122,1,16,77,30,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,77,30,107,Mrs.,Stueve ,Sarah ,,Mrs.,Seyer,Lisa,,Haertling,Debbie,K,Mrs.,aps48@altenburgps.eduk12.net,http://aps48.com,145,27 ,08
